nombre:frecuencia:fmil
MARIA CARMEN:652184:27.19
MARIA:597226:24.90
CARMEN:383575:15.99
ANA MARIA:272433:11.36
JOSEFA:269508:11.24
ISABEL:262845:10.96
MARIA PILAR:261662:10.91
MARIA DOLORES:257057:10.72
LAURA:257015:10.72
MARIA TERESA:249773:10.41
ANA:248571:10.36
CRISTINA:228264:9.52
MARTA:226279:9.43
MARIA ANGELES:224805:9.37
FRANCISCA:209121:8.72
LUCIA:205894:8.58
MARIA ISABEL:204069:8.51
MARIA JOSE:203171:8.47
ANTONIA:202917:8.46
DOLORES:192315:8.02
SARA:170412:7.11
PAULA:169714:7.08
ELENA:161252:6.72
MARIA LUISA:158520:6.61
RAQUEL:148025:6.17
ROSA MARIA:147129:6.13
PILAR:144857:6.04
CONCEPCION:143521:5.98
MANUELA:142250:5.93
MARIA JESUS:137600:5.74
MERCEDES:136531:5.69
JULIA:124659:5.20
BEATRIZ:123394:5.14
NURIA:120746:5.03
SILVIA:120243:5.01
ROSARIO:119004:4.96
JUANA:117985:4.92
ALBA:117144:4.88
IRENE:116769:4.87
TERESA:116659:4.86
ENCARNACION:114194:4.76
PATRICIA:112070:4.67
MONTSERRAT:109500:4.57
ANDREA:107853:4.50
ROCIO:107348:4.48
MONICA:103137:4.30
ROSA:101404:4.23
ALICIA:100185:4.18
MARIA MAR:99439:4.15
SONIA:98012:4.09
SANDRA:97803:4.08
ANGELA:97442:4.06
MARINA:97244:4.05
SUSANA:95561:3.98
NATALIA:93589:3.90
YOLANDA:91972:3.83
MARGARITA:88806:3.70
MARIA JOSEFA:86625:3.61
CLAUDIA:81845:3.41
EVA:80424:3.35
MARIA ROSARIO:79010:3.29
INMACULADA:78417:3.27
SOFIA:78372:3.27
MARIA MERCEDES:77001:3.21
CARLA:76880:3.21
ANA ISABEL:76176:3.18
ESTHER:74800:3.12
NOELIA:73785:3.08
VERONICA:71620:2.99
ANGELES:66660:2.78
NEREA:66431:2.77
CAROLINA:66257:2.76
MARIA VICTORIA:63411:2.64
EVA MARIA:63017:2.63
INES:62506:2.61
MIRIAM:62316:2.60
MARIA ROSA:62086:2.59
DANIELA:61938:2.58
LORENA:61715:2.57
ANA BELEN:60543:2.52
MARIA ELENA:60267:2.51
MARIA CONCEPCION:59972:2.50
VICTORIA:59646:2.49
AMPARO:59337:2.47
MARIA ANTONIA:55939:2.33
CATALINA:54021:2.25
MARTINA:53910:2.25
LIDIA:53324:2.22
ALEJANDRA:52471:2.19
CELIA:52344:2.18
MARIA NIEVES:52036:2.17
CONSUELO:51406:2.14
OLGA:49882:2.08
AINHOA:49195:2.05
FATIMA:48665:2.03
GLORIA:48082:2.00
EMILIA:47438:1.98
MARIA SOLEDAD:46830:1.95
CLARA:46789:1.95
MARIA CRISTINA:46687:1.95
